item_code,item_name,uom,item_group,description
NT230054,Thẻ xét nghiệm sinh hóa khí máu EG7+,Thẻ,Vật tư tiêu hao,Hãng SX: AbBộtt Point of Care - Canada
VT210099,Thẻ xét nghiệm sinh hóa khí máu EG7+,Thẻ,Vật tư tiêu hao,Hãng SX: AbBộtt/Canada
VT277,"Thìa nạo (Curette Volkmann) số 3, Ø4, 4mmx6,2mm",Chiếc,Vật tư tiêu hao,Hãng SX: Curette Volkmann/Đức
VT0271,"Thìa nạo (Curette Volkmann) số 3, Ø4, 4mmx6,2mm",Chiếc,Vật tư tiêu hao,Hãng SX: Curette Volkmann/Đức
NT220049,Thìa nạo tử cung,Cái,Dụng cụ y tế,Hãng SX: Prime/Pakistan
VTTH407,"Thiết bị đo nhiệt độ, độ ẩm TH600B",Chiếc,Vật tư tiêu hao,Hãng SX: Hàn Quốc
DCYT045,Thiết bị đo SPO2 và nhịp tim Beurer PO30,Chiếc,Dụng cụ y tế,Hãng SX: Đức
NT210076,Thiết bị Thẻo dõi nhiệt độ. Model: Tempmate-M1/Trung Quốc,Cái,Thiết bị y tế,Hãng SX: Tempmate GmbH/Trung Quốc
VT0272,Thông tiểu Lọại ba chạc các cỡ,Chiếc,Vật tư tiêu hao,Hãng SX: Idealcare/Malaysia
VT278,Thông tiểu Lọại ba chạc các cỡ,Chiếc,Vật tư tiêu hao,Hãng SX: Idealcare/Malaysia
VT0273,Thông tiểu một nhánh (Sonde nelaton),Chiếc,Vật tư tiêu hao,Hãng SX: Greetmed/Trung Quốc
VT279,Thông tiểu một nhánh (Sonde nelaton),Chiếc,Vật tư tiêu hao,Hãng SX: Greetmed/Trung Quốc
2020HC73,Thrombin Clotting Time,Hộp,Hóa chất,
HC18199,Thrombin Clotting Time,Hộp,Hóa chất,
2021HC143,Thrombin Clotting Time,Hộp,Hóa chất,
2020HC67,Thromboplastin L,Hộp,Hóa chất,
HC18193,Thromboplastin L,Hộp,Hóa chất,
2021HC137,Thromboplastin L,Hộp,Hóa chất,
HC0211,Thromboplastin L (HCXN PT),Hộp,Hóa chất,
VT280,Thuốc cản quang 350mg/ml,Lọ,Vật tư tiêu hao,Hãng SX: Cenatic/ Pháp
NT220045,Thước dây,Cái,Dụng cụ y tế,Hãng SX: Việt Nam
TH0252,Thuốc diệt tủy Arsenic Blue,Lọ,Vật tư tiêu hao,Hãng SX: Redstar
NT220039,Thước đo cổ tử cung,Cái,Dụng cụ y tế,Hãng SX: Prime/Pakistan
TH0214,Tinh dầu sả,Chai,Vật tư tiêu hao,Hãng SX: Việt Nam
NT210028,Tinh dầu xả,Ml,Vật tư tiêu hao,Hãng SX: Việt Nam
VT210081,Tinh dầu xả,Ml,Vật tư tiêu hao,Hãng SX: Thuận Phát/Việt Nam - Việt Nam
2020HC41,Total Bilirubin,Hộp,Hóa chất,
2021HC34,Total Bilirubin,Hộp,Hóa chất,
HC0028,Total Bilirubin,Hộp,Hóa chất,
HC18170,Total Bilirubin,Hộp,Hóa chất,
HC18171,Total protein,Hộp,Hóa chất,
HC0029,Total protein,Hộp,Hóa chất,
2021HC35,Total Protein,Hộp,Hóa chất,
2020HC42,Total Protein,Hộp,Hóa chất,
HC0142,TP G2 300T COBAS C/INTEGRA,test,Hóa chất,
HC18088,TP G2 300T COBAS C/INTEGRA,test,Hóa chất,
HC18089,"TPUC 150T COBAS C, INT",test,Hóa chất,
